src,ra_deg,dec_deg,mjd,repeater
FRB20190102B,21.7,21.4,58485.113822597996,False
FRB20190411C,9.33,20.5,58584.805976592004,False
FRB20181220B,277.4,84.9,58472.35477601,False
FRB20190221C,316.2,54.7,58535.792165442996,False
FRB20181226C,349.1,44.9,58478.043158848,False
FRB20180916A,349.0,80.33,58377.31473946,False
FRB20190214A,96.1,66.2,58528.19776855,False
FRB20181030D,81.8,16.1,58421.45284254,False
FRB20190404A,143.1,36.9,58577.19521083,False
FRB20190317A,87.4,44.7,58559.09337537,False
FRB20180801A,322.53,72.7,58331.366249872,False
FRB20190219A,105.78,43.1,58533.215590712,False
FRB20190110C,247.0,41.42,58493.71599999999,False
FRB20190630B,328.2,43.0,58664.471721463,False
FRB20190701C,96.4,81.6,58665.817533242,False
FRB20190116B,192.3,27.2,58499.54692066,True
FRB20190116B,192.3,27.2,58499.547458837005,True
FRB20180814A,65.5,73.6,58344.617939757,True
FRB20180814A,65.5,73.6,58372.54116263,True
FRB20180814A,65.5,73.6,58378.032385833,True
FRB20180814A,65.5,73.6,58380.52513717,True
FRB20180814A,65.5,73.6,58419.42539902,True
FRB20180814A,65.5,73.6,58440.364464050996,True
FRB20180814A,65.5,73.6,58442.35102095,True
FRB20180814A,65.5,73.6,58620.85667787,True
FRB20180814A,65.5,73.6,58645.786601484004,True
FRB20180814A,65.5,73.6,58659.738735537,True
FRB20180814A,65.49999999999999,73.66666666666667,58712.61108579415,True
FRB20180814A,65.49999999999999,73.66666666666667,58755.49900462963,True
FRB20180814A,65.49999999999999,73.66666666666667,58785.40415133902,True
FRB20180814A,65.49999999999999,73.66666666666667,58794.891054953565,True
FRB20180814A,65.49999999999999,73.66666666666667,58798.37170723019,True
FRB20180814A,65.49999999999999,73.66666666666667,58903.07493439976,True
FRB20180814A,65.49999999999999,73.66666666666667,58910.07796813244,True
FRB20180814A,65.49999999999999,73.66666666666667,59095.55594101522,True
FRB20190411B,154.0,29.2,58584.209121534004,False
FRB20190222B,160.7,19.62,58536.35734830001,False
FRB20190211B,299.6,61.4,58525.77622726,False
FRB20181222C,131.1,68.3,58474.450817838,False
FRB20190625D,115.02,4.87,58659.893952356106,False
FRB20190609C,73.2,24.1,58643.818858235994,False
FRB20180911A,99.6,84.62,58372.6252476504,False
FRB20190529A,68.1,40.3,58632.837488178,False
FRB20190601A,190.1,62.7,58635.170600375,False
FRB20190411A,80.0,83.9,58584.025929212,False
FRB20190131B,354.7,11.7,58514.957288,False
FRB20190302A,34.8,61.3,58544.98412775,False
FRB20181119E,16.4,60.5,58441.21924524,False
FRB20190122A,349.6,37.5,58505.96504764,False
FRB20181117C,53.2,25.7,58439.325545057,False
FRB20190212B,140.0,52.1,58526.329156489,False
FRB20190111A,217.0,26.8,58494.6290615894,False
FRB20190405A,337.0,21.0,58578.73224998,False
FRB20181223C,181.1,27.6,58475.580233175,False
FRB20190322B,132.0,73.3,58564.19786169,False
FRB20190424A,168.3,63.78,58597.211743545995,False
FRB20181014B,78.6,14.7,58405.489948519,False
FRB20190317E,274.4,13.3,58559.61171829599,False
FRB20190128A,21.8,24.67,58511.042068370996,False
FRB20190701B,302.9,80.2,58665.410225064006,False
FRB20180925A,74.9,78.0,58386.53006032,False
FRB20190212D,178.8,66.7,58526.44032986,False
FRB20190325A,130.4,83.1,58567.18038618,False
FRB20190209A,144.3,77.7,58523.34746555,True
FRB20190209A,144.3,77.7,58524.34529982,True
FRB20180918A,301.3,65.0,58379.174621232,False
FRB20190428A,170.73,23.3,58601.209369145996,False
FRB20190403F,43.3,33.1,58576.92169858,False
FRB20181019B,37.9,68.2,58410.36427371,False
FRB20190624A,168.3,69.78,58658.048373617,False
FRB20190319A,113.4,5.7,58561.156965931,False
FRB20190422A,48.6,35.2,58595.88432418,False
FRB20181224B,45.4,46.1,58476.203368457005,False
FRB20181221A,230.6,25.9,58473.724019675996,False
FRB20190218B,268.7,17.9,58532.66733997,False
FRB20181203B,47.31,24.0,58455.26617027901,False
FRB20190604C,77.4,49.3,58638.845609802,False
FRB20190625C,73.2,11.1,58659.7753221697,False
FRB20190308C,188.36,44.4,58550.396322652996,False
FRB20190211A,67.1,68.6,58525.128419262,False
FRB20181013A,262.8,38.4,58404.003125997006,False
FRB20181229A,137.2,42.0,58481.440950501,False
FRB20190304A,124.51,74.6,58546.227910341,False
FRB20190609D,115.94,51.7,58643.939752215,False
FRB20181202A,351.0,17.4,58454.112287932,False
FRB20190124C,217.17,28.4,58507.593317067,False
FRB20190519D,164.6,42.99,58622.13324544099,False
FRB20190129A,45.1,21.4,58512.10127473,False
FRB20180915A,280.6,17.9,58376.127609445,False
FRB20190518C,242.01,4.6,58621.349301598,False
FRB20190531C,331.1,43.0,58634.564788266,False
FRB20190105A,266.3,63.8,58488.77748891,False
FRB20181119B,299.4,31.1,58441.003477988,False
FRB20190210E,313.7,86.7,58524.84859669,False
FRB20190607B,42.0,49.6,58641.737474894006,False
FRB20190316A,5.2,20.5,58558.862665367,False
FRB20190221B,286.8,27.9,58535.710377346,False
FRB20190623B,335.2,46.1,58657.511784062,False
FRB20190601C,88.5,28.47,58635.884481383,False
FRB20190517C,87.5,26.6,58620.921331214005,False
FRB20181230A,346.7,83.4,58482.02102424,False
FRB20180924A,35.5,37.5,58385.422759502,False
FRB20190519G,306.7,72.3,58622.53349492,False
FRB20181201B,273.4,56.3,58453.89346452,False
FRB20190625A,227.9,32.9,58659.21025848,False
FRB20181214D,178.6,46.7,58466.597873633,False
FRB20181201A,215.0,39.3,58453.73548306,False
FRB20190104A,70.5,35.6,58487.24275656231,False
FRB20180812A,19.3,80.8,58342.49009258099,False
FRB20190206C,200.5,74.39,58520.51855071,False
FRB20190204A,161.3,61.5,58518.40820018,False
FRB20190227A,108.4,56.3,58541.196940689006,False
FRB20181117B,81.1,80.0,58439.896354018,False
FRB20190627D,295.3,43.8,58661.390181553,False
FRB20190605D,26.7,28.6,58639.70354210099,False
FRB20190410B,265.76,15.2,58583.51935672,False
FRB20190118B,39.7,23.6,58501.11653345,False
FRB20181015A,175.8,83.6,58406.7530872,False
FRB20190213C,64.3,45.0,58527.11651018,False
FRB20181208A,264.4,62.6,58460.856286038,False
FRB20190118A,253.31,11.55,58501.7099110403,False
FRB20190612B,222.2,4.3,58646.229661857,False
FRB20190328A,120.4,59.1,58570.15749269,False
FRB20180915B,225.2,25.0,58376.975384589,False
FRB20190202A,344.2,17.1,58516.91953916,False
FRB20190403A,116.3,86.4,58576.10937642,False
FRB20181122A,60.0,55.5,58444.327910982,False
FRB20181102A,87.2,15.6,58424.460830164004,False
FRB20190127B,150.9,83.6,58510.39121647,False
FRB20190111B,260.0,13.53,58494.74933195,False
FRB20180908B,188.2,74.2,58369.884074803,True
FRB20180908B,188.2,74.2,58655.09819361,True
FRB20180908B,187.99999999999997,74.2,58666.0821143309,True
FRB20180908B,187.99999999999997,74.2,58682.04953768518,True
FRB20181225B,36.8,88.2,58477.215145579,False
FRB20190116E,19.4,52.3,58499.066817634004,False
FRB20181118A,20.7,-6.4,58440.233787267,False
FRB20190627A,195.9,0.8,58661.115827027,False
FRB20181129A,355.1,45.0,58451.130626564,False
FRB20181213A,127.7,73.9,58465.46401471901,False
FRB20180909A,123.6,56.8,58370.70598115,False
FRB20190106A,22.2,46.1,58489.10359583,False
FRB20181226B,182.66,12.4,58478.577032245,False
FRB20190425B,210.1,88.6,58598.754030603,False
FRB20190325C,53.9,60.2,58567.97646039,False
FRB20190617C,134.4,35.7,58651.96779726,False
FRB20181202C,307.1,57.0,58454.98412964599,False
FRB20190416A,145.0,33.3,58589.17186433599,False
FRB20190614B,332.86,24.69,58648.528859335,False
FRB20181128A,73.9,63.22,58450.352565035995,True
FRB20181128A,73.9,63.22,58471.29492684,True
FRB20181128A,73.9,63.22,58630.86089978,True
FRB20181128A,74.0,63.38333333333333,58815.352566435184,True
FRB20190322A,110.8,51.3,58564.14449500001,False
FRB20190601D,85.9,79.4,58635.87179568,False
FRB20190329A,65.5,73.6,58571.99885785,False
FRB20190430A,77.7,87.0,58603.45185672,False
FRB20181230B,20.8,79.7,58482.11078575,False
FRB20190502B,212.0,64.44,58605.313075998,False
FRB20190502C,155.6,82.97,58605.664072992004,False
FRB20181216A,306.3,53.5,58468.947711497,False
FRB20190320C,254.7,22.4,58562.54789453401,False
FRB20190403B,135.5,1.46,58576.18047849,False
FRB20190627B,256.4,40.8,58661.282239019696,False
FRB20190628C,11.5,48.59,58662.59897690001,False
FRB20181218B,18.0,69.4,58470.148712504,False
FRB20181020A,322.6,78.8,58411.14839666,False
FRB20180920A,78.9,28.3,58381.55528837,False
FRB20190603B,48.9,74.3,58637.267588365,False
FRB20190113A,108.1,-3.0,58496.31981281,False
FRB20190201A,64.0,84.8,58515.65014996,False
FRB20190616A,234.0,34.5,58650.247646701,False
FRB20181014C,117.9,41.6,58405.59651295,False
FRB20190329C,279.79,51.6,58571.591907391,False
FRB20181224E,239.32,7.3,58476.739645037,False
FRB20190518D,174.7,89.3,58621.37825603,False
FRB20190223B,311.6,60.6,58537.77210566,False
FRB20190430B,237.7,62.3,58603.38945675,False
FRB20181222D,188.2,56.16,58474.6066161,False
